,Companies,locations
124,"[""Conseil de la Communauté Marocaine à l'Etranger""]","['Préfecture de Rabat, Morocco']"
125,[],[]
126,[],[]
127,['Devcorp\n        Internship'],"['Casablanca, Morocco', 'Casablanca Prefecture, Morocco']"
128,"['ENSIAS IT Club', 'Intellcap']","['Rabat Prefecture, Morocco']"
129,"['DXC Technology\n        Full-time', 'DXC Technology\n        Full-time']","['Rabat, Rabat-Salé-Zemmour-Zaër, Morocco', 'Rabat, Rabat-Salé-Zemmour-Zaër, Morocco']"
130,['ExtramedicXe\n        Internship'],"['Casablanca-Settat, Maroc']"
131,['Visiativ Africa\n        Internship'],"['Casablanca, Morocco']"
132,['DigitalAdvisor\n        Part-time'],"['Casablanca, Morocco']"
133,"['ENSIAS AI\n        Part-time', 'CINDH-ENSIAS(Club d’Initiative Nationale du Développement Humain )\n        Part-time', 'Olympiades ENSIAS\n        Part-time']","['Maroc', 'Maroc', 'Maroc']"
134,"['Forum GENI Entreprises', ""Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes - ENSIAS""]",[]
135,"['Université Internationale de Rabat', 'Banque Centrale Populaire', 'Ministère de la Justice et des Libertés', 'La Caisse de Dépôt et de Gestion - CDG CAPITAL', 'Office National des Hydrocarbures et des Mines']","['Préfecture de Rabat, Morocco', 'Casablanca', 'Rabat', 'Rabat', 'Rabat']"
136,"['HackerRank\n        Part-time', 'OCP Group\n        Internship']",['JORF LASFAR']
137,"['CGI', 'Zodiac Aerospace']","['Région de Strasbourg, France', 'M2i', 'Le Mans, Pays de la Loire, France', 'Rabat, Rabat-Salé-Zemmour-Zaër, Morocco']"
138,"['Banque Centrale Populaire - BCP\n        Full-time', 'Banque Centrale Populaire - BCP\n        Internship', 'IntellCap\n        Internship', 'Haut Commissariat au Plan\n        Internship']","['Casablanca-Settat, Morocco', 'Casablanca-Settat, Morocco', 'Rabat Prefecture, Morocco', 'Rabat Prefecture, Morocco']"
139,"[""Conseil de la Communauté Marocaine à l'Etranger\n        Internship"", ""Centre régional d'investissement Beni Mellal - Khenifra\n        Internship""]","['Rabat, Rabat-Salé-Kenitra, Morocco', 'Rabat, Rabat - Salé - Kénitra, Maroc', 'Maroc - Rabat', 'Province de Béni Mellal, Morocco']"
140,[],[]
141,[],[]
142,[],[]
143,[],[]
144,"['Infinait Solutions SA\n        Internship', 'Olympiades ENSIAS', 'ENSIAS IT Club']","['Luxembourg', 'Rabat', 'rabat']"
145,"['D-AIM\n        Full-time', 'Consult Network Market\n        Internship', 'Amen Bank\n        Internship']","['Casablanca, Casablanca-Settat, Maroc', 'Remote', 'Rabat-Salé-Kénitra, Maroc', 'Tunis, tunisie']"
146,"['Allure Systems', 'Shokly\n        Internship', 'Pabete\n        Internship', 'Lesieur Cristal\n        Internship']","['Clichy, Île-de-France, France', 'Région de Paris, France', 'Paris, Île-de-France, France', 'Casablanca']"
147,[],[]
148,"['ENACTUS ENSIAS\n        Self-employed', 'Best Afrik\n        Internship', 'Université Mohammed VI Polytechnique\n        Internship', ""L'Association des jeunes Développeurs\n        Self-employed"", 'PORTNET S.A. ""National Single Window of Foreign Trade""\n        Internship']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Dakar, Sénégal', 'Ben Guerir, Marrakesh-Safi, Maroc', 'Rabat, Maroc', 'Port de Casablanca']"
149,"['AdelphaTech\n        Internship', 'INTELLCAP SARL\n        Internship', 'Ministry of Finance and Administrative Reform \n        Internship']","['Rabat, Rabat-Salé-Kenitra, Morocco', 'Morocco', 'Rabat Prefecture, Morocco']"
150,"['Amadeus\n        Apprenticeship', 'Hermione\n        Internship', 'SODIBET', 'VIVACE']","['Nice, Provence-Alpes-Côte d’Azur, France', 'Montpellier, Occitanie, France', 'Préfecture de Casablanca, Morocco']"
151,"['Natixis\n        Full-time', 'ALFIC\n        Full-time', 'INGENIANCE\n        Internship', 'Edifixio\n        Internship', ""Compagnie d'Assurance Transport - CAT\n        Internship""]","['Ville de Paris, Île-de-France, France', 'Puteaux, Île-de-France, France', 'Puteaux, Île-de-France, France', 'Levallois-Perret, Île-de-France, France', 'Casablanca Prefecture, Morocco']"
152,['Freeray electronics\n        Full-time'],"['Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco', 'Préfecture de Rabat, Morocco']"
153,"['OCP SA', 'Wilaya - Agadir']","['Agadir Ida-Outanane, Morocco']"
154,"['Forum GENI Entreprises', 'INTELLCAP', ""M'dina Bus""]","['Rabat Prefecture, Morocco', 'Casablanca Prefecture, Morocco']"
155,['Office National des Chemins de Fer (ONCF)'],"['Préfecture de Rabat, Morocco']"
156,[],[]
157,"['Netfective Technology\n        Full-time', 'Salam Gaz S.A.', 'Financial Insight', 'ministère de la communication', 'OMNIXYS']","['Maroc', 'Maroc', 'Maroc', 'Maroc', 'Maroc']"
158,['IEEE ENSIAS Student Branch'],[]
159,"['Mabotic', 'University of Houston', 'Involys', 'HOMSYS Maroc']","['Houston, Texas Area', 'Houston, Texas Area', 'Cologne Area, Germany', 'Houston, Texas, U.S.A.', 'Casablanca, Morocco', 'Casablanca, Morocco']"
160,"['Al Omrane', 'OCP SA', 'ICOZ']",[]
161,[],[]
162,"['INSEC ENSIAS', 'ENSIAS IT Club', 'Olympiades ENSIAS', 'ENSIAS AI']","['Maroc', 'Maroc', 'Maroc', 'Maroc']"
163,"['Société Générale Maroc', 'Payment Center For Africa - PCA', 'Banque Centrale Populaire - BCP']","['Casablanca Prefecture, Morocco', 'Préfecture de Casablanca, Morocco', 'Casablanca']"
164,"['Matious Digital\n        Internship', 'Direction de la Coopération et du Partenariat\n        Internship', 'Veolia\n        Internship']","['Mohammedia, Casablanca-Settat, Maroc', 'Rabat, Morocco', 'Tétouan, Tanger-Tétouan, Morocco']"
165,"['Crédit Agricole CIB', 'INGENIANCE\n        Internship', 'BDSI Maroc\n        Internship']","['Ville de Paris, Île-de-France, France', 'Paris, Île-de-France, France', 'Préfecture de Casablanca, Morocco']"
166,"['Société Générale - Africa Technologies & Services\n        Full-time', 'Detecon International GmbH', 'Groupe Premium', 'CDG Capital']","['Casablanca, Morocco', 'Région de Berlin, Allemagne', 'Casablanca, Grand Casablanca, Morocco', 'Préfecture de Rabat, Morocco']"
167,[],[]
168,"['PM Consulting', 'Nokia Siemens Networks', 'Accenture', 'LogicaCMG', 'Direction Générale des Impôts']",['Morocco']
169,[],[]
170,[],[]
171,[],[]
172,['HPS'],[]
173,[],[]
174,"['Blu Age\n        Full-time', 'Carefie', 'IEEE', 'bonn-rhein-sieg']","['Rabat-Sale, Morocco', 'Rabat Prefecture, Morocco', 'Rabat Prefecture, Morocco', 'Bad Münstereifel, North Rhine-Westphalia, Germany', 'Bonn Area, Germany']"
175,['OCP SA'],"['Province d’El Jadida, Morocco']"
176,"['Acentium\n        Full-time', 'SQLI\n        Internship', 'Novancy One \uf3af', 'Ministery of economy and Finance']","['Boston, Massachusetts, États-Unis', 'Rabat, Rabat-Sale, Morocco', 'Préfecture de Casablanca, Morocco', 'Préfecture de Rabat, Morocco']"
177,[],[]
178,"['Association Des Elèves Ingénieurs ENSIAS', 'Forum GENI ENTREPRISES', 'Robotics Club ENSIAS', ""Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes - ENSIAS\n        Full-time"", 'IEEE ENSIAS STUDENT BRANCH']","['Rabat, Rabat-Salé-Kenitra, Morocco']"
179,"['Leyton\n        Full-time', 'FY COMPUTING', 'ARA Services & Technologies', 'DGAPR\n        Internship']","['Casablanca-Settat, Maroc', 'Préfecture de Rabat, Morocco', 'Préfecture de Rabat, Morocco', 'Rabat, Rabat-Salé-Kénitra, Maroc']"
180,"['Atos', 'Atos', 'WB&C - Digital Experts', 'Royal Air Maroc', 'Huawei Technologies']","['Toulouse, Midi-Pyrénées, France', 'Toulouse, Midi-Pyrénées, France', 'Préfecture de Casablanca, Morocco', 'Casablanca Prefecture, Morocco', 'Rabat']"
181,"['OCP SA\n        Internship', 'Intellcap', ""Office national de l'electricité et de l'eau potable - Branche Electricité""]","['préfecture de Casablanca', 'Préfecture de Rabat, Morocco', 'Préfecture de Casablanca, Morocco']"
182,"[""Nell'Armonia\n        Internship"", 'Effyis Partners \n        Internship', 'Ford Motor Company\n        Internship']","['Casablanca et périphérie', 'Casablanca - Settat, Maroc', 'Casablanca, Grand Casablanca, Morocco']"
183,[],[]
184,[],[]
185,"['Delphi', 'RAK', 'R.A.K']","['Casablanca', 'Casablanca, Grand Casablanca, Morocco', 'Province de Kénitra, Morocco', 'Province de Kénitra, Morocco', 'Province de Kénitra, Morocco']"
186,['RADEEC\n        Internship'],"['Casablanca-Settat, Maroc']"
187,"[""Ministère du Tourisme et de l'Artisanat\n        Internship""]","['Rabat, Morocco']"
188,[],[]
189,"['Wiztivi\n        Internship', 'Royal Air Maroc', 'Opus Networks']","['Région de Nantes, France', 'Préfecture de Casablanca, Morocco']"
190,"['Haut Commissariat au Plan', 'SKATYS, Partenaire SAP Maroc', 'BCP', ""Département de l'informatique et des méthodes - Ministère de la Santé Publique Maroc"", 'Ménara Holding']","['Préfecture de Rabat, Morocco', 'Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco', 'Rabat', 'Province d’El Kelaâ des Sraghna, Morocco']"
191,"['Capgemini\n        Full-time', 'Atos\n        Internship', 'Derhosting \n        Internship', 'Maroc Pro\n        Internship']","['Casablanca, Morocco', 'Rabat, Morocco', 'Fès, Morocco']"
192,[],[]
193,"['Banque Centrale Populaire - BCP\n        Full-time', 'Banque Centrale Populaire - BCP\n        Full-time', 'University of Houston\n        Internship', 'Culture Moto']","['Casablanca, Casablanca-Settat, Maroc', 'Préfecture de Casablanca, Morocco', 'Région de Houston, Texas, États-Unis', 'Casablanca, Grand Casablanca, Morocco']"
194,"['Berexia', 'NOVECIO', 'SCOR', ""Caisse d'Epargne Ile-de-France"", 'APPLIUM']","['Paris Area, France', 'Paris Area, France', 'Paris Area, France', 'Paris Area, France', 'Paris Area, France']"
195,[],[]
196,"['PEGASE INFORMATIQUE', 'Accenture', 'SQLI', 'GENERATION NT']","['Préfecture de Rabat, Morocco', 'Casablanca, Morocco', 'Casablanca, Morocco', 'Rabat, Morocco', 'Meknes, Morocco']"
197,"['Shipinfy\n        Internship', 'Maram-IT\n        Internship', 'CCME\n        Internship']","['Morocco', 'Tanger-Tetouan-Al Hoceima, Morocco', 'Rabat']"
198,[],[]
199,"['Forum GENI ENTREPRISES\n        Full-time', 'Olympiades ENSIAS\n        Part-time', 'INSEC ENSIAS\n        Part-time']","['Rabat, Rabat-Salé-Kénitra, Maroc', 'Rabat, Rabat-Salé-Kénitra, Maroc']"
200,"['Tiramisu', 'Scrypt.Media', 'INATBA', 'Huawei Technologies', 'Steria']","['Tallinn, Harjumaa, Estonia', 'Paris Area, France', 'Paris Area, France']"
201,['Monitrol\n        Full-time'],"['Boucherville, Québec, Canada']"
202,"['Tata Consultancy Services', 'ENGIE', 'Deloitte', 'Siemens Gamesa']","['Ville de Paris, Île-de-France, France', 'Ville de Paris, Île-de-France, France', 'Préfecture de Casablanca, Morocco', 'Préfecture de Casablanca, Morocco']"
203,"['Henceforth\n        Internship', 'Association Des Elèves Ingénieurs ENSIAS\n        Full-time', ""Council of the Moroccan Community Abroad - Conseil de la communauté marocaine à l'étranger (CCME)\n        Full-time"", 'OCP SA\n        Full-time']","['Rabat, Rabat-Salé-Kenitra, Morocco', 'Rabat, Rabat-Salé-Kenitra, Morocco', 'Rabat, Rabat-Salé-Kenitra, Morocco', 'Province de Khouribga, Morocco']"
204,"['Med You in', 'OCP SA']","['Casablanca', 'Province de Khouribga, Morocco']"
205,"['Best Deal Sarl\n        Internship', 'ONICL\n        Internship']","['Marrakesh-Safi, Maroc']"
206,['SQLI\n        Internship'],"['Rabat, Morocco']"
207,"['Audina Maroc\n        Internship', 'GCL Group\n        Internship']","['Casablanca-Settat, Morocco', 'Casablanca Prefecture, Morocco']"
208,"['TEDxENSIAS', 'INTELLCAP\n        Internship']",[]
209,"['Centre Mohammed V deuxième chance\n        Part-time', 'CloudLink\n        Full-time', 'Adli Depot\n        Internship', 'Faculty of sciences Rabat\n        Full-time']","['Rabat, Rabat-Salé-Kenitra, Morocco', 'Rabat, Rabat-Salé-Kenitra, Morocco', 'United States', 'Brussels, Brussels Region, Belgium', 'Rabat, Rabat-Salé-Kenitra, Morocco']"
210,"['T-Mining - Blockchain Logistics\n        Full-time', 'Crémaillère du coeur\n        Internship', 'SQLI\n        Internship']","['Antwerp, Flemish Region, Belgium', 'Paris, Île-de-France, France', 'Rabat Prefecture, Morocco']"
211,"['CGI', ""Neotech Solutions change de nom et adopte l'identité AZEO"", 'Kindy Info Maroc SA', 'ONEE-Branche Eau', 'LIM Solutions']","['Préfecture de Casablanca, Morocco', 'Préfecture de Rabat, Morocco', 'Préfecture de Casablanca, Morocco', 'Rabat', 'Marrekech']"
212,"['L’Association Marocaine de la Recherche Opérationnelle et les Sciences du Management - MORMS', 'Siège, Wafa Immobilier', 'Siege Wafa Immobilier,Casablanca']","['Rabat', 'Casablanca - Settat, Maroc', 'Casablanca - Settat, Maroc']"
213,"['CollectiveCrunch\n        Internship', 'Haut Commissariat au Plan\n        Internship', 'DXC Technology Maroc\n        Internship']","['Espoo, Uusimaa, Finland', 'Rabat-Sale, Morocco', 'Technopolis']"
214,"['Bureau Veritas Group', 'Devoteam', 'IT6 Consulting', 'IT6 Consulting', ""Wilaya d'Agadir""]","['Région de Paris, France', 'Région de Paris, France', 'Préfecture de Rabat, Morocco', 'Préfecture de Rabat, Morocco', 'Préfecture d’Agadir Ida-Outanane, Morocco']"
215,[],[]
216,"['APRR\n        Apprenticeship', 'Berger-Levrault\n        Internship', 'Autre\n        Freelance', ""Agence des Technologies de l'Information et de la Communication\n        Internship""]","['Saint-Apollinaire, Bourgogne-Franche-Comté, France', 'Montpelier', 'Bamako, Mali']"
